,Date,Store Number,City,Zip Code,County Number,County,Category,Category Name,Vendor Number,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
116057,05/28/2015,2612,PERRY,50220,25.0,Dallas,1011200.0,STRAIGHT BOURBON WHISKIES,434,18196,Ezra Brooks 50 Mo Ky Sour Mash Bourbon,750,$6.84,$10.26,6,$61.56,4.5,1.19
101400,11/20/2015,2630,WEST DES MOINES,50266,77.0,Polk,1081240.0,GREEN CREME DE MENTHE,434,79336,Paramount Creme De Menthe/green,750,$4.75,$7.13,4,$28.52,3.0,0.79
160056,09/01/2015,3849,DYERSVILLE,52040,31.0,Dubuque,1012100.0,CANADIAN WHISKIES,260,11297,Crown Royal Canadian Whisky,1000,$18.50,$27.75,1,$27.75,1.0,0.26
19918,02/12/2015,4847,LECLAIRE,52753,82.0,Scott,1032080.0,IMPORTED VODKA,115,34820,Svedka Vodka,750,$8.25,$12.38,12,$148.56,9.0,2.38
27375,08/10/2015,4673,WEST POINT,52656,56.0,Lee,1012100.0,CANADIAN WHISKIES,260,11297,Crown Royal Canadian Whisky,1000,$18.50,$27.75,12,$333.00,12.0,3.17
94333,08/17/2015,3628,CEDAR RAPIDS,52402,57.0,Linn,1031080.0,VODKA 80 PROOF,260,37998,Smirnoff Vodka 80 Prf,1750,$14.75,$22.13,12,$265.56,21.0,5.55
210250,07/15/2015,2625,DAVENPORT,52804,82.0,Scott,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,434,46351,Hawkeye Light Rum,1000,$4.34,$6.51,12,$78.12,12.0,3.17
29173,11/03/2015,3495,MONTICELLO,52310,53.0,Jones,1062300.0,FLAVORED RUM,370,42717,Malibu Coconut Rum,1000,$10.49,$15.74,1,$15.74,1.0,0.26
221861,11/05/2015,4988,CEDAR FALLS,50613,7.0,Black Hawk,1081250.0,WHITE CREME DE MENTHE,434,79816,Paramount Creme De Menthe/white,750,$4.75,$7.13,2,$14.26,1.5,0.4
141625,10/07/2015,3964,SIOUX RAPIDS,50585,11.0,Buena Vista,1012100.0,CANADIAN WHISKIES,115,11774,Black Velvet,375,$3.07,$4.61,4,$18.44,1.5,0.4
197501,07/13/2015,2648,WEST DES MOINES,50265,77.0,Polk,1031080.0,VODKA 80 PROOF,260,37413,Popov Vodka 80 Prf,200,$1.75,$2.63,4,$10.52,0.8,0.21
145009,01/27/2016,2500,AMES,50010,85.0,Story,1012100.0,CANADIAN WHISKIES,65,15246,Windsor Canadian,750,$4.20,$6.30,12,$75.60,9.0,2.38
151248,07/16/2015,2836,WATERLOO,50703,7.0,Black Hawk,1012300.0,IRISH WHISKIES,370,15628,Jameson,1750,$28.49,$42.74,1,$42.74,1.75,0.46
43390,09/15/2015,5121,CHARLES CITY,50616,34.0,Floyd,1062300.0,FLAVORED RUM,35,43136,Bacardi Limon,750,$8.26,$12.39,3,$37.17,2.25,0.59
11942,03/12/2015,4935,WATERLOO,50703,7.0,Black Hawk,1062300.0,FLAVORED RUM,35,43134,Bacardi Limon,375,$4.75,$7.13,3,$21.39,1.12,0.3
2104,02/24/2015,4877,CLIVE,50325,77.0,Polk,1032200.0,IMPORTED VODKA - MISC,260,64713,Ciroc Peach,1000,$22.75,$34.13,12,$409.56,12.0,3.17
268502,02/23/2016,2620,WINDSOR HEIGHTS,50311,77.0,Polk,1011100.0,BLENDED WHISKIES,65,22786,Beam's 8 Star Bl Whiskey,750,$3.93,$5.90,12,$70.80,9.0,2.38
236233,02/18/2015,4979,CEDAR RAPIDS,52402,57.0,Linn,1031080.0,VODKA 80 PROOF,300,36904,Mccormick Vodka Pet,375,$1.80,$2.70,5,$13.50,1.88,0.5
87024,09/21/2015,4475,COUNCIL BLUFFS,51501,78.0,Pottawattamie,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,43123,Bacardi Superior Rum,200,$2.50,$3.75,10,$37.50,2.0,0.53
91373,05/19/2015,3944,DUBUQUE,52002,31.0,Dubuque,1012100.0,CANADIAN WHISKIES,260,10828,Crown Royal Northern Harvest Rye,750,$17.00,$25.50,72,$1836.00,54.0,14.27
116794,02/10/2016,5003,DAVENPORT,52804,82.0,Scott,1081600.0,WHISKEY LIQUEUR,421,64870,Fireball Cinnamon,100,$0.89,$1.34,48,$64.32,4.8,1.27
38740,05/28/2015,5093,LE CLAIRE,52753,82.0,Scott,1071100.0,AMERICAN COCKTAILS,35,56828,Bacardi Classic Cocktails Mojito,1750,$7.00,$12.00,2,$24.00,3.5,0.92
268579,01/28/2015,4797,DES MOINES,50316,77.0,Polk,1012100.0,CANADIAN WHISKIES,85,12478,Canadian Mist Canadian Why Pet,1750,$10.50,$15.75,6,$94.50,10.5,2.77
111141,08/19/2015,2500,AMES,50010,85.0,Story,1062310.0,SPICED RUM,259,43026,Admiral Nelson Spiced Rum,750,$5.78,$8.67,12,$104.04,9.0,2.38
7043,09/08/2015,4321,CHARLES CITY,50616,34.0,Floyd,1041200.0,AMERICAN SLOE GINS,434,33716,Paramount Sloe Gin,750,$4.75,$7.13,3,$21.39,2.25,0.59
111743,04/28/2015,5080,SPENCER,51301,21.0,Clay,1081030.0,COFFEE LIQUEURS,65,67557,Kamora Coffee Liqueur,1000,$8.39,$12.59,24,$302.16,24.0,6.34
173344,02/16/2016,2607,SHENANDOAH,51601,73.0,Page,1081390.0,IMPORTED SCHNAPPS,421,69631,Dr. Mcgillicuddy's Cherry Mini,500,$4.96,$7.44,1,$7.44,0.5,0.13
61184,05/20/2015,4057,DES MOINES,50316,77.0,Polk,1031200.0,VODKA FLAVORED,205,40192,New Amsterdam Pineapple,375,$3.50,$5.25,24,$126.00,9.0,2.38
